Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2220001220703,47.7649993896484,49.1230010986328,50.3619995117188,51.7630004882813,53.3479995727539,55.875,56.5950012207031,57.7000007629395,57,58.2729988098145,61.1279983520508,62.1980018615723,64.7080001831055,65.5009994506836,65.3130035400391,67.3820037841797,68.4010009765625,71.1169967651367,70.6630020141602,71.0339965820313,71.4029998779297,71.6999969482422,71.9250030517578,72.8850021362305,73.2160034179688,73.6009979248047,
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informal employment (% of total non-agricultural employment),SL.ISV.IFRM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Informal employment, female (% of total non-agricultural employment)",SL.ISV.IFRM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6580009460449,31.6200008392334,32.0120010375977,32.193000793457,32.3390007019043,32.2369995117188,33.6669998168945,31.7700004577637,31.6989994049072,32.1839981079102,33.1069984436035,31.9829998016357,32.0229988098145,30.1259994506836,29.7290000915527,30.2590007781982,28.4680004119873,28.6849994659424,27.0139999389648,27.7339992523193,28.0429992675781,28.5699996948242,28.3610000610352,28.0240001678467,27.5189990997314,27.4869995117188,27.4370002746582,
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8500003814697,31.3560009002686,32.1520004272461,32.4970016479492,32.9379997253418,33.726001739502,35.8040008544922,33.6940002441406,33.3359985351563,33.992000579834,34.976001739502,34.5540008544922,34.8250007629395,32.976001739502,32.6069984436035,33.2290000915527,31.5480003356934,31.8659992218018,30.8169994354248,31.6159992218018,32.2770004272461,33.1720008850098,33.298999786377,33.0029983520508,32.5130004882813,32.0460014343262,32.0550003051758,
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1159992218018,32.0970001220703,31.7609996795654,31.6439990997314,31.257999420166,29.5510005950928,29.8090000152588,28.2810001373291,28.7250003814697,28.8950004577637,29.6909999847412,27.2639999389648,26.8540000915527,24.8460006713867,24.3759994506836,24.7169990539551,22.7229995727539,22.6770000457764,19.9389991760254,20.4650001525879,20.3169994354248,20.3419990539551,19.9400005340576,19.7189998626709,19.2390003204346,19.9769992828369,19.8540000915527,
