"","kindness","clean","quality"
"2",270.963879302144,2,4679.61387538284
"5",599.745042156428,5,9481.37409029979
"6",590.303124394268,6,-1695.9632370618
"7",702.580485492945,7,6847.53648319932
"8",353.822983568534,8,-593.188315120979
"9",781.774304574355,9,5607.41021562808
"10",962.856135796756,10,6903.27142434601
"11",968.319314066321,11,5616.71280316375
"15",446.107795462012,15,2082.04261755862
"16",740.165060386062,16,6987.74888494716
"17",482.5347319711,17,3487.21643715705
"18",120.702772401273,18,-5709.592073273
"21",805.067533161491,21,-4712.79971036361
"23",583.551762392744,23,3639.40880625072
"24",104.60177459754,24,6296.91410779263
"25",898.329297546297,25,1225.24338991498
"26",604.575530160218,26,4074.16733864141
"27",985.89460644871,27,1669.18191853428
"35",476.892914623022,35,17791.2778946317
"36",753.717935876921,36,2966.53779379484
"37",990.642835851759,37,8616.4044480402
"42",484.864144353196,42,13742.89155537
"43",811.075668549165,43,9360.55792822709
"44",998.545499518514,44,12321.3627275994
"46",457.513799192384,46,8863.29542577306
"48",238.839789759368,48,11323.9617553121
"49",170.205729315057,49,1361.29275652961
"55",338.880173163489,55,-1991.09642683621
"58",587.421863107011,58,-5363.55853943214
"59",320.778355933726,59,2836.55553492049
"61",716.220834059641,61,10178.4527109689
"62",476.492590270936,62,6756.2579091569
"63",560.215120436624,63,9981.29583392583
"64",368.775479728356,64,4115.54042961269
"65",400.992896873504,65,-3803.74812252269
"66",84.1447354760021,66,-7255.85743959789
"69",920.715047279373,69,8606.80187912566
"70",587.566966889426,70,11386.3423274958
"72",55.5515566375107,72,6431.02835602769
"73",432.417174335569,73,6250.58935544928
"76",953.005721559748,76,19197.0323931297
"78",121.309064794332,78,-2461.67757286552
"79",452.676020562649,79,3546.45790812296
"80",406.82113613002,80,10333.7882933133
"81",349.506058497354,81,4427.96897160535
"84",122.294797329232,84,9931.90040829951
"85",420.388421276584,85,-2266.33651505063
"87",169.230483006686,87,3591.8803787663
"88",193.065851926804,88,3764.32294653524
"89",849.652013508603,89,11150.9371247365
"91",47.08754690364,91,4137.64234087417
"92",846.858073957264,92,4025.44705475782
"96",285.44648271054,96,-4200.41795802399
"97",230.051379418001,97,1369.60067609255
"99",353.29924011603,99,7306.96274109733
"101",807.176660979167,101,5504.40066465257
"103",750.394837232307,103,6418.31252216239
"104",793.386325472966,104,9483.44461532443
"106",30.8941137045622,106,2935.9100931434
"108",773.628092370927,108,4903.16301805606
"109",656.507757259533,109,231.362114831119
"116",413.992790738121,116,2328.05548771456
"119",105.397813254967,119,2918.67012652857
"120",712.880147621036,120,10176.3896698279
"122",486.942505696788,122,7588.59559656767
"123",288.826777832583,123,908.383125256825
"131",303.013654658571,131,8489.99612855828
"132",879.738633288071,132,14186.0127864146
"136",646.649353438988,136,14916.8717112961
"137",971.395550528541,137,9811.32649384707
"140",835.86233202368,140,9683.29206538466
"141",252.830673241988,141,3263.98485665529
"143",903.624768136069,143,10756.7742250808
"147",84.6072407439351,147,6767.10796904133
"148",899.893321562558,148,10881.3977739559
"149",893.181392224506,149,6165.96004986264
"152",255.149421980605,152,3898.61975175092
"157",928.013925207779,157,2609.44566806721
"161",384.46593680419,161,9672.85994750953
"162",990.819963626564,162,5972.83890940158
"163",193.92045144923,163,1880.06485217817
"164",438.674515578896,164,1032.04473185583
"166",77.1873639896512,166,4082.31795201423
"167",997.50884482637,167,17035.5423551816
"168",646.82879531756,168,2387.55149734267
"171",169.514510082081,171,8728.87216844052
"175",816.428984515369,175,4252.60080893981
"180",62.7366020344198,180,4931.46819344222
"181",199.51321487315,181,2841.52583932412
"182",735.540196299553,182,6342.89139156621
"183",564.349907683209,183,8378.01033917479
"184",986.275982344523,184,7338.1180943167
"186",273.082343162969,186,2886.73526159791
"189",99.1721916943789,189,2945.75468085318
"190",501.439954154193,190,8199.066158816
"192",950.758006423712,192,13223.5346034436
"193",857.121856883168,193,11133.6892541255
"196",927.19930736348,196,13122.1050652894
"197",163.747724611312,197,12196.4871728303
"199",703.088525682688,199,13713.5199119737
