ID,Gender,Marital Status,Work Status,Education,Annual Income (x1000 $),Age,Location,Purchasing Decision-maker,Purchasing Location,Monthly Electronics Spend,Monthly Household Spend,Purchasing Frequency (every x months),Technology Adoption,TV Viewing (hours/day),Favorite feature
1,male,married,professional,none,49,30,Florida,family,mass-consumer electronics,35,150,13,late,2,saving favorite shows to watch as a family
2,male,single,none,none,46,36,Alabama,single,mass-consumer electronics,35,163,26,late,10,saving favorite shows to watch as a family
3,male,married,professional,BA,58,66,Massachusetts,family,specialty stores,64,103,13,early,0,time shifting
4,male,married,none,PhD,51,78,New York,family,mass-consumer electronics,33,154,22,late,5,saving favorite shows to watch as a family
5,female,single,none,none,46,52,Montana,single,mass-consumer electronics,45,161,47,late,2,saving favorite shows to watch as a family
6,female,married,none,BA,31,72,New Jersey,single,retail,14,21,32,early,1,time shifting
7,male,married,professional,none,33,62,California,single,discount,18,40,41,early,0,cool gadget
8,male,married,none,none,29,30,New Hampshire,single,retail,23,75,9,early,1,schedule control
9,male,married,professional,none,57,60,Massachusetts,family,specialty stores,74,358,1,early,0,schedule control
10,female,married,professional,none,30,59,Idaho,family,discount,16,78,25,early,0,schedule control
11,female,single,professional,PhD,29,25,Florida,single,discount,38,66,2,early,6,programming/interactive features
12,female,married,none,none,49,57,Florida,family,mass-consumer electronics,46,225,20,late,5,saving favorite shows to watch as a family
13,male,married,professional,BA,64,80,New Jersey,family,specialty stores,53,257,10,early,1,cool gadget
14,female,married,none,none,27,36,Nevada,single,discount,16,48,8,early,2,schedule control
15,male,single,professional,none,27,61,California,family,retail,14,60,39,early,1,cool gadget
16,female,married,professional,none,33,54,Illinois,family,retail,14,24,16,early,0,cool gadget
17,male,married,professional,BA,31,58,Idaho,single,discount,16,44,14,early,1,cool gadget
18,female,married,professional,none,28,30,Maine,family,discount,14,66,8,early,2,cool gadget
19,female,single,professional,PhD,29,25,Alaska,single,retail,24,101,11,early,5,programming/interactive features
20,female,married,professional,none,28,58,South Dakota,family,retail,17,83,16,early,0,time shifting
21,female,married,none,MA,50,75,Colorado,family,mass-consumer electronics,47,172,17,late,8,saving favorite shows to watch as a family
