Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1980,41,1,Alabama,,49.20%,48.70%,,"1,341,929",2726249.00,2753078.00,0.40%,"6,543","10,985","2,547","14,583",
1982,41,1,Alabama,,40.60%,40.10%,,"1,128,725",2780689.00,2813033.00,0.50%,"9,233","14,229","2,266","18,614",
1984,41,1,Alabama,,50.90%,50.30%,,"1,441,713",2831099.00,2867180.00,0.50%,"10,482","16,338","2,194","20,845",
1986,41,1,Alabama,,43.10%,42.50%,,"1,236,230",2869652.00,2911819.00,0.60%,"11,710","21,371","3,038","25,434",
1988,41,1,Alabama,,47.50%,46.70%,,"1,378,476",2901744.00,2949934.00,0.60%,"12,610","25,301","4,701","29,962",
1990,41,1,Alabama,,41.10%,40.40%,,"1,215,889",2956385.00,3012797.00,0.70%,"15,665","27,686","5,970","35,478",
1992,41,1,Alabama,,55.70%,54.50%,,"1,688,060",3030549.00,3096959.00,0.90%,"17,453","31,188","6,934","39,981",
1994,41,1,Alabama,,38.80%,37.90%,,"1,201,969",3095745.00,3170782.00,1.00%,"19,573","32,284","7,235","42,950",
1996,41,1,Alabama,,48.80%,47.50%,,"1,534,349",3144249.00,3227688.00,1.20%,"21,760","37,865","4,966","45,659",
1998,41,1,Alabama,,41.20%,40.00%,,"1,317,842",3202052.00,3293917.00,1.30%,"22,676","40,379","5,221","48,087",
2000,41,1,Alabama,,51.60%,50.10%,,"1,672,551",3241682.00,3334576.00,1.50%,"26,225","40,178","5,484","51,798",
2002,41,1,Alabama,,41.50%,40.40%,,"1,364,602",3285643.00,3371451.00,1.80%,"28,440","39,713","5,309","53,606",
2004,41,1,Alabama,57.40%,57.20%,55.20%,"1,890,317","1,883,415",3292608.00,3427542.00,1.90%,"26,521","36,795","7,745","52,664",
2006,41,1,Alabama,,37.50%,35.90%,,"1,250,401",3338467.00,3513952.00,2.30%,"28,241","55,766","7,795","63,919",
2008,41,1,Alabama,61.00%,60.80%,58.40%,"2,105,622","2,099,819",3454510.00,3595708.00,2.20%,"30,508","53,252","8,042","61,155","74,079"
2010,41,1,Alabama,43.30%,43.00%,40.80%,"1,503,232","1,494,273",3472582.00,3661784.00,2.80%,"31,587","50,622","9,006","86,889",
2012,41,1,Alabama,,58.60%,56.00%,,"2,074,338",3539217.00,3707440.00,2.60%,"32,232","57,993","8,616","71,584",
2014,41,1,Alabama,33.20%,32.90%,31.50%,"1,191,274","1,180,413",3588783.00,3751844.00,2.50%,"31,691","53,640","8,097","69,826",
1980,81,2,Alaska,60.20%,58.70%,57.10%,"162,653","158,445",270122.00,277261.00,2.00%,822,"1,181",93,"1,506",
1982,81,2,Alaska,64.90%,63.40%,61.50%,"199,458","194,885",307558.00,316787.00,2.20%,"1,322","1,816",101,"2,331",
1984,81,2,Alaska,62.10%,60.50%,58.60%,"213,173","207,605",343030.00,354410.00,2.30%,"1,967","2,064",147,"3,146",
1986,81,2,Alaska,51.90%,51.40%,49.60%,"182,526","180,801",351841.00,364871.00,2.50%,"2,460","2,885",119,"4,022",
1988,81,2,Alaska,57.30%,56.40%,54.20%,"203,433","200,116",355023.00,369260.00,2.60%,"2,588","2,994",498,"4,583",
1990,81,2,Alaska,54.20%,53.40%,51.30%,"197,540","194,750",364419.00,379863.00,2.80%,"2,622","3,599",568,"4,990",
1992,81,2,Alaska,67.10%,66.30%,63.60%,"261,427","258,506",389898.00,406653.00,2.90%,"2,865","3,014",710,"5,082",
1994,81,2,Alaska,54.20%,53.40%,51.20%,"216,668","213,404",399435.00,417053.00,3.00%,"3,292","2,899",412,"5,154",
1996,81,2,Alaska,60.70%,59.80%,57.00%,"245,212","241,620",404180.00,423702.00,3.10%,"3,716","3,999",642,"6,358",
1998,81,2,Alaska,55.60%,54.60%,52.00%,"227,156","223,300",408758.00,429317.00,3.20%,"4,097","4,274",478,"6,712",
2000,81,2,Alaska,68.70%,68.10%,65.00%,"287,825","285,560",419111.00,440296.00,3.40%,"4,173","4,779",525,"7,088",
2002,81,2,Alaska,54.50%,54.20%,51.00%,"232,852","231,484",427337.00,457154.00,3.80%,"4,431","5,229",900,"7,946",
2004,81,2,Alaska,69.60%,69.10%,65.20%,"314,502","312,598",452124.00,476378.00,4.00%,"4,515","5,547",951,"8,240",
2006,81,2,Alaska,51.20%,51.00%,47.80%,"238,307","237,322",465169.00,492452.00,4.50%,"5,069","6,095",973,"9,090",
2008,81,2,Alaska,68.30%,68.00%,64.30%,"327,341","326,197",479429.00,507645.00,3.70%,"5,014","6,708","1,732","9,234","60,686"
2010,81,2,Alaska,52.90%,51.90%,48.50%,"261,128","256,192",493764.00,528744.00,4.00%,"5,576","6,959","2,089","13,601",
2012,81,2,Alaska,58.90%,58.70%,55.30%,"301,694","300,495",511792.00,543763.00,3.80%,"5,633","7,173","1,882","11,317",
2014,81,2,Alaska,54.80%,54.20%,51.00%,"285,431","282,382",520562.00,553473.00,3.90%,"5,216","7,077","2,210","11,389",
1980,61,3,Arizona,47.50%,46.20%,44.40%,"898,183","873,945",1890167.00,1968947.00,3.40%,"4,372","12,584","1,093","11,757",
1982,61,3,Arizona,36.80%,36.00%,34.40%,"742,923","726,364",2017098.00,2112246.00,3.80%,"6,069","14,949","1,527","15,071",
1984,61,3,Arizona,48.90%,47.70%,45.30%,"1,051,339","1,025,897",2151391.00,2263826.00,4.20%,"7,845","16,687","1,660","17,849",
1986,61,3,Arizona,38.40%,37.40%,35.30%,"889,668","866,984",2319046.00,2452624.00,4.60%,"9,434","20,283","2,034","21,610",
1988,61,3,Arizona,49.10%,47.70%,44.90%,"1,204,169","1,171,873",2454254.00,2609995.00,5.00%,"12,095","25,446","1,669","26,487",
1990,61,3,Arizona,43.40%,41.80%,39.00%,"1,094,735","1,055,406",2523614.00,2705468.00,5.50%,"14,861","30,397","2,711","32,771",
1992,61,3,Arizona,56.70%,55.70%,51.30%,"1,516,276","1,486,975",2671933.00,2897181.00,6.50%,"16,477","34,647","3,588","37,389",
1994,61,3,Arizona,39.90%,39.10%,35.60%,"1,153,724","1,129,607",2892171.00,3169857.00,7.50%,"19,746","34,365","4,351","41,280",
1996,61,3,Arizona,46.50%,45.60%,41.10%,"1,431,342","1,404,405",3079908.00,3414380.00,8.40%,"22,493","40,607","3,785","46,582",
1998,61,3,Arizona,32.10%,31.50%,28.00%,"1,037,550","1,017,616",3232815.00,3628841.00,9.40%,"25,311","51,329","3,742","54,718",
2000,61,3,Arizona,46.40%,45.60%,40.20%,"1,559,520","1,532,016",3357701.00,3816498.00,10.30%,"26,510","59,810","3,474","59,889",
2002,61,3,Arizona,36.70%,35.90%,30.70%,"1,255,615","1,226,111",3419481.00,3998148.00,11.10%,"30,741","66,485","4,587","68,571",
2004,61,3,Arizona,54.80%,54.10%,47.00%,"2,038,069","2,012,585",3717055.00,4215706.00,11.50%,"31,631","69,343","5,671","71,974",
2006,61,3,Arizona,39.60%,38.90%,33.30%,"1,553,032","1,526,782",3923786.00,4490327.00,12.60%,"35,892","73,265","6,213","78,738",
2008,61,3,Arizona,57.40%,56.70%,49.10%,"2,320,851","2,293,475",4046075.00,4673718.00,11.60%,"39,589","82,232","7,534","84,472","90,036"
