Year,State,Winner,Type[i],#C[ii],$Spent Actual,$Spent 2001$,CPV 2001,,,
1978,AK,R +13,IW,9,"2,412,443",6573414.00,52.82,,,
1982,AK,D +  9,O,13,"5,278,640",9703382.00,50.31,,,
1986,AK,D +  4,IL,16,"6,890,858",11168327.00,65.13,,,
1990,AK,I  +  8,O,11,"6,200,682",8424840.00,47.99,,,
1994,AK,D + 0.2,O,14,"4,116,586",4930043.00,23.1,,,
1998,AK,D +34,IW,13,"2,446,735",2650850.00,12.04,,,
1978,AL,D +48,O,15,"2,906,526",7919689.00,10.58,,,
1982,AL,D +19,O,11,"3,509,600",6451471.00,5.91,,,
1986,AL,R +12,O,7,"10,071,783",16323797.00,13.24,,,
1990,AL,R +  6,IW,9,"14,848,688",20174848.00,16.2,,,
1994,AL,R +  1,IL,12,"19,485,301",23335690.00,19.41,,,
1998,AL,D +16,IL,9,"22,320,478",24182533.00,18.35,,,
1978,AR,D +26,O,6,"880,616",2399499.00,4.58,,,
1980,AR,R +  4,IL,4,"1,048,816",2260379.00,2.69,,,
1982,AR,D +10,IL,8,"3,584,467",6589094.00,8.35,,,
1984,AR,D +26,IW,6,"1,944,113",3323270.00,3.75,,,
1986,AR,D +28,IW,7,"2,252,906",3651387.00,5.31,,,
1990,AR,D +14,IW,10,"6,020,788",8180418.00,11.75,,,
1994,AR,D +20,IW,4,"3,608,127",4321110.00,6.03,,,
1998,AR,R +21,IW,4,"3,204,489",3471819.00,4.92,,,
1978,AZ,D +  8,IW,7,"788,303",2147965.00,4.1,,,
1982,AZ,D +30,IW,5,"2,262,750",4159467.00,5.7,,,
1986,AZ,R +  6,O,6,"6,922,221",11219159.00,12.94,,,
1990,AZ,R + 0.5,O,9,"6,416,195",8717656.00,9.27,,,
1994,AZ,R +  8,IW,6,"8,170,337",9784835.00,8.66,,,
1998,AZ,R +25,IW,6,"3,442,708",3729911.00,3.67,,,
1970,CA,R +  8,IW,4,"4,882,356",22293863.00,3.5,,,
1974,CA,D + 3,O,2,"13,023,383",46846701.00,7.7,,,
1978,CA,D +19,IW,19,"8,556,431",23314526.00,3.64,,,
1982,CA,R +  1,O,21,"23,397,385",43009899.00,5.46,,,
1986,CA,R +24,IW,10,"22,464,928",36409932.00,5,,,
1990,CA,R +  3,O,19,"53,165,881",72236251.00,9.38,,,
1994,CA,R +15,IW,13,"60,636,241",72618253.00,8.39,,,
1998,CA,D +20,O,17,"124,495,529",134881397.00,16.09,,,
1978,CO,D +20,IW,7,"1,675,434",4565215.00,5.7,,,
1982,CO,D +34,IW,5,"1,142,933",2100980.00,2.26,,,
1986,CO,D +17,O,8,"6,204,946",10056639.00,9.57,,,
1990,CO,D +28,IW,8,"1,248,652",1696538.00,1.72,,,
1994,CO,D +16,IW,7,"8,659,592",10370769.00,9.29,,,
1998,CO,R + 0.7,O,6,"3,593,313",3893080.00,2.95,,,
1978,CT,D +18,IW,3,"1,595,711",4347986.00,4.2,,,
1982,CT,D +  7,IW,8,"3,152,542",5795114.00,5.39,,,
1986,CT,D +17,IW,6,"3,878,640",6286288.00,6.39,,,
1990,CT,I  +  3,O,5,"7,581,885",10301474.00,9.03,,,
1994,CT,R +  3,O,7,"8,665,349",10377663.00,9.05,,,
1998,CT,R +28,IW,5,"6,436,107",6973030.00,6.98,,,
1900,DE,D +19,O,4,"3,100,255",3163525.00,9.78,,,
1976,DE,D +14,IW,4,"266,668",830741.00,3.64,,,
1980,DE,R +41,IW,3,"298,641",643623.00,2.86,,,
1984,DE,R +12,O,3,"1,057,759",1808135.00,7.42,,,
1988,DE,R +42,IW,2,"885,731",1329926.00,5.54,,,
1992,DE,D +32,O,6,"2,709,940",3430304.00,12.38,,,
1996,DE,D +39,IW,2,"828,026",953947.00,3.52,,,
1978,FL,D +12,O,9,"6,095,619",16609316.00,6.56,0.367000002,,
1982,FL,D +30,IW,6,"4,222,742",7762393.00,2.89,0.558157763,8139171.00,7565499.00
1986,FL,R +10,O,18,"31,596,036",51209135.00,15.12,3.768604422,9158241.00,8384015.00
1990,FL,D +14,IL,7,"25,086,370",34084742.00,9.7,2.7430852,10137720.00,9145312.00
1994,FL,D +  2,IW,14,"21,121,103",25294734.00,6.01,2.152963427,11016840.00,9810247.00
1998,FL,R +10,O,2,"12,020,990",13023824.00,3.29,1.135033288,12001902.00,10590870.00
1978,GA,D +62,IW,8,"385,269",1049779.00,1.58,,,
1982,GA,D +26,O,17,"6,475,316",11903154.00,10.2,,,
1986,GA,D +42,IW,3,"807,907",1309412.00,1.11,,,
1990,GA,D +  8,O,10,"17,269,807",23464412.00,16.19,,,
1994,GA,D +  2,IW,9,"11,950,762",14312290.00,9.26,,,
1998,GA,D +  9,O,11,"35,584,066",38552618.00,21.51,,,
1978,HI,D +11,IW,10,"2,403,288",6548469.00,23.56,,,
1982,HI,D +19,IW,9,"4,036,608",7420235.00,23.79,,,
1986,HI,D +  4,O,11,"6,711,865",10878225.00,32.56,,,
1990,HI,D +21,IW,12,"3,730,712",5068902.00,14.9,,,
1994,HI,D +  8,O,12,"9,331,098",11174968.00,30.28,,,
1998,HI,D +  1,IW,12,"7,249,856",7854665.00,19.27,,,
1978,IA,R +18,IW,7,"774,048",2109123.00,2.52,,,
1982,IA,R +  6,O,6,"2,183,131",4013108.00,3.89,,,
1986,IA,R +  4,IW,6,"3,123,670",5062674.00,5.57,,,
1990,IA,R +22,IW,6,"6,400,755",8696678.00,8.95,,,
1994,IA,R +15,IW,9,"6,859,797",8215326.00,8.24,,,
1998,IA,D +  5,O,8,"7,796,431",8446837.00,8.84,,,
1978,ID,D +20,IW,8,"813,422",2216409.00,7.81,,,
1982,ID,D +  2,IW,4,"1,306,804",2402213.00,7.36,,,
1990,ID,D +36,IW,4,"1,351,152",1835804.00,5.74,,,
1994,ID,R +  8,O,9,"3,355,554",4018628.00,9.72,,,
1996,ID,D +  1,O,3,"1,834,976",2974029.00,7.76,,,
1998,ID,R +39,O,7,"1,671,426",1810862.00,4.75,,,
1978,IL,R +19,IW,6,"4,328,572",11794474.00,3.78,,,
1982,IL,R + 0.1,IW,6,"7,802,413",14342671.00,3.95,,,
1986,IL,R +13,IW,6,"8,915,247",14449347.00,4.57,,,
1990,IL,R +  3,O,5,"23,914,628",32492701.00,9.98,,,
1994,IL,R +30,IW,8,"22,035,539",26389867.00,8.49,,,
1998,IL,R +  4,O,9,"24,255,888",26279402.00,7.82,,,
1900,IN,D +14,IW,4,"18,055,759",18424244.00,8.45,,,
1976,IN,R +14,IW,4,"1,446,163",4505181.00,2.08,,,
1980,IN,R +16,O,6,"3,206,053",6909597.00,3.18,,,
1984,IN,R +  5,IW,7,"4,199,265",7178231.00,3.28,,,
1988,IN,D +  6,O,4,"8,239,770",12372027.00,5.78,,,
1992,IN,D +25,IW,5,"6,700,884",8482132.00,3.85,,,
1996,IN,D +  5,O,5,"21,059,472",24262065.00,11.62,,,
1978,KS,D +  2,IL,8,"819,815",2233828.00,3.14,,,
1982,KS,D +  9,IW,10,"3,028,520",5567132.00,7.41,,,
1986,KS,R +  4,O,8,"6,390,775",10357820.00,12.32,,,
1990,KS,D +  6,IL,10,"5,388,242",7320981.00,9.35,,,
1994,KS,R +28,O,14,"6,699,331",8023151.00,9.77,,,
1998,KS,R +50,IW,6,"2,708,383",2934326.00,3.95,,,
1975,KY,D +24,IW,8,"3,648,872",12042482.00,16.1,,,
1979,KY,D +18,O,15,"9,382,261",22939513.00,23.66,,,
1983,KY,D +11,O,11,"16,528,309",29462226.00,28.14,,,
1987,KY,D +30,O,11,"18,366,985",28698414.00,36.9,,,
1991,KY,D +30,O,7,"19,595,885",25548742.00,30.64,,,
1995,KY,D +  2,O,8,"10,391,630",12097357.00,12.4,,,
1999,KY,D +39,IW,4,"1,347,754",1435308.00,2.49,,,
1975,LA,D +38,IW,6,"10,608,913",35012914.00,29.1,,,
1979,LA,R + 0.6,O,9,"20,624,429",50426477.00,36.76,,,
1983,LA,D +26,IL,9,"18,638,793",33224230.00,20.42,,,
1987,LA,D +  5,IL,9,"13,142,072",20534488.00,"13,17",,,
1991,LA,D +22,IL,12,"9,778,386",12748874.00,7.38,,,
1995,LA,R +28,O,21,"19,752,094",22994289.00,14.83,,,
1999,LA,R +32,IW,13,"6,698,088",7133214.00,5.51,,,
1970,MA,R +14,IW,4,"3,415,018",15593689.00,8.39,,,
1978,MA,D +  6,IL,5,"2,794,366",7614076.00,3.89,,,
1982,MA,D +22,IL,7,"7,718,602",14188607.00,6.98,,,
1986,MA,D +38,IW,4,"4,054,861",6571898.00,3.9,,,
1990,MA,R +  3,O,6,"14,778,198",20079073.00,8.57,,,
1994,MA,D +43,IW,6,"6,126,316",7336905.00,3.39,,,
1998,MA,R +  4,IW,6,"18,621,409",20174874.00,10.42,,,
1978,MD,D +42,O,9,"3,718,576",10132360.00,10.01,,,
1982,MD,D +24,IW,6,"2,553,942",4694746.00,4.12,,,
1986,MD,D +64,O,5,"4,591,131",8024524.00,7.29,,,
1990,MD,D +20,IW,4,"2,679,446",3640552.00,3.28,,,
1994,MD,D +0.4,O,10,"13,443,783",16100339.00,11.42,,,
1998,MD,D +12,IW,6,"10,267,212",11123740.00,7.24,,,
1978,ME,D +14,O,7,"685,266",1867210.00,5.06,,,
1982,ME,D +23,IW,7,"1,663,327",3057586.00,6.73,,,
1986,ME,R +10,O,9,"5,362,183",8690734.00,20.36,,,
1990,ME,R +  3,IW,3,"3,062,678",4161247.00,7.97,,,
1994,ME,I  + 1.3,O,18,"5,334,180",6388240.00,12.49,,,
1998,ME,I  +40,IW,8,"1,004,984",1088823.00,2.59,,,
1978,MI,R +14,IW,5,"4,742,614",12922654.00,4.51,,,
1982,MI,D +  6,O,17,"10,373,502",19068938.00,6.27,,,
1986,MI,D +37,IW,7,"9,361,424",15172486.00,6.33,,,
1990,MI,R +0.6,IL,4,"6,939,601",9428806.00,3.68,,,
1994,MI,R +23,IW,5,"11,047,370",13230383.00,4.29,,,
