"","VCF0004","VCF0101","VCF0110","VCF0901a","VCF0114","VCF0105b","VCF0104","VCF0147","VCF0303","VCF0116","VCF9025"
"21845",1978,56,"2. High school (12 grades or fewer, incl. non-college",12,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","4. Unemployed","9. DK; NA; did not vote; DK/NA/refused to say if"
"21846",1978,76,"1. Grade school or less (0-8 grades)",19,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","1. Married","2. Independents","5. Retired","9. DK; NA; did not vote; DK/NA/refused to say if"
"21847",1978,69,"2. High school (12 grades or fewer, incl. non-college",39,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","2. Never married","3. Republicans (including leaners)","5. Retired","2. Republican"
"21848",1978,38,"2. High school (12 grades or fewer, incl. non-college",42,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21849",1978,56,"1. Grade school or less (0-8 grades)",42,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21850",1978,51,"2. High school (12 grades or fewer, incl. non-college",42,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","2. Republican"
"21851",1978,44,"4. College or advanced degree (no cases 1948)",27,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","4. Separated","1. Democrats (including leaners)","1. Working now","2. Republican"
"21852",1978,29,"2. High school (12 grades or fewer, incl. non-college",13,"2. 17 to 33 percentile","2. Black non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21853",1978,19,"3. Some college (13 grades or more but no degree;",13,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21854",1978,51,"2. High school (12 grades or fewer, incl. non-college",36,"1. 0 to 16 percentile","4. Other or multiple races, non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","6. Permanently disabled","9. DK; NA; did not vote; DK/NA/refused to say if"
"21855",1978,57,"2. High school (12 grades or fewer, incl. non-college",37,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","7. Homemaker","0. No gubernatorial race in state (includes Washington"
"21856",1978,23,"2. High school (12 grades or fewer, incl. non-college",27,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","7. Partners; not married (VOLUNTEERED [exc.1986,2012])","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21857",1978,85,"1. Grade school or less (0-8 grades)",27,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","2. Never married","1. Democrats (including leaners)","5. Retired","1. Democrat"
"21858",1978,55,"4. College or advanced degree (no cases 1948)",6,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21859",1978,20,"2. High school (12 grades or fewer, incl. non-college",6,"1. 0 to 16 percentile","3. Hispanic","2. Female","2. Never married","2. Independents","4. Unemployed","9. DK; NA; did not vote; DK/NA/refused to say if"
"21860",1978,64,"2. High school (12 grades or fewer, incl. non-college",42,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","5. Retired","1. Democrat"
"21861",1978,47,"3. Some college (13 grades or more but no degree;",12,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21862",1978,77,"3. Some college (13 grades or more but no degree;",12,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","7. Homemaker","2. Republican"
"21863",1978,21,"2. High school (12 grades or fewer, incl. non-college",1,"1. 0 to 16 percentile","2. Black non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21864",1978,89,"1. Grade school or less (0-8 grades)",39,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","7. Homemaker","1. Democrat"
"21865",1978,71,"2. High school (12 grades or fewer, incl. non-college",39,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","5. Retired","2. Republican"
"21866",1978,33,"2. High school (12 grades or fewer, incl. non-college",26,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","3. Divorced","3. Republicans (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21867",1978,78,"3. Some college (13 grades or more but no degree;",17,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","5. Retired","2. Republican"
"21868",1978,20,"2. High school (12 grades or fewer, incl. non-college",12,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","2. Never married","2. Independents","2. Temporarily laid off","9. DK; NA; did not vote; DK/NA/refused to say if"
"21869",1978,29,"2. High school (12 grades or fewer, incl. non-college",18,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","0. No gubernatorial race in state (includes Washington"
"21870",1978,77,"1. Grade school or less (0-8 grades)",18,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","5. Retired","0. No gubernatorial race in state (includes Washington"
"21871",1978,30,"2. High school (12 grades or fewer, incl. non-college",18,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21872",1978,69,"1. Grade school or less (0-8 grades)",18,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","5. Retired","0. No gubernatorial race in state (includes Washington"
"21873",1978,45,"4. College or advanced degree (no cases 1948)",1,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21874",1978,88,"2. High school (12 grades or fewer, incl. non-college",27,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","5. Retired","2. Republican"
"21875",1978,21,"2. High school (12 grades or fewer, incl. non-college",27,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","2. Never married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21876",1978,51,"2. High school (12 grades or fewer, incl. non-college",28,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21877",1978,75,"1. Grade school or less (0-8 grades)",28,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21878",1978,32,"2. High school (12 grades or fewer, incl. non-college",12,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21879",1978,61,"2. High school (12 grades or fewer, incl. non-college",12,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","2. Female","1. Married","2. Independents","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21880",1978,78,"1. Grade school or less (0-8 grades)",56,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","5. Retired","2. Republican"
"21881",1978,24,"2. High school (12 grades or fewer, incl. non-college",56,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","1. Working now","1. Democrat"
"21882",1978,24,"3. Some college (13 grades or more but no degree;",6,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21883",1978,30,"4. College or advanced degree (no cases 1948)",29,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21884",1978,23,"3. Some college (13 grades or more but no degree;",29,"1. 0 to 16 percentile","1. White non-Hispanic","1. Male","2. Never married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21885",1978,79,"1. Grade school or less (0-8 grades)",29,"1. 0 to 16 percentile","1. White non-Hispanic","1. Male","5. Widowed","3. Republicans (including leaners)","5. Retired","0. No gubernatorial race in state (includes Washington"
"21886",1978,65,"2. High school (12 grades or fewer, incl. non-college",19,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","5. Retired","1. Democrat"
"21887",1978,21,"2. High school (12 grades or fewer, incl. non-college",5,"2. 17 to 33 percentile","2. Black non-Hispanic","2. Female","1. Married","2. Independents","4. Unemployed","9. DK; NA; did not vote; DK/NA/refused to say if"
"21888",1978,19,"2. High school (12 grades or fewer, incl. non-college",5,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","1. Married","2. Independents","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
